epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,34.1354,2.2026,1.45983,1.68086,0.5909,0.12259,0.241,0.05929,3.1049,2.79669,2.2248,0.0085998,0.0085998,0.0085998
56,34.6323,2.20659,1.5418,1.69351,0.30346,0.26667,0.2499,0.07492,2.93361,2.27289,2.16222,0.00855018,0.00855018,0.00855018
57,35.0989,2.11322,1.36421,1.66701,0.49849,0.34545,0.3755,0.09282,2.86179,2.21786,2.1037,0.00849984,0.00849984,0.00849984
58,35.5776,2.2658,1.40822,1.71439,0.49211,0.30909,0.32924,0.09651,2.76335,2.28223,2.06559,0.0084488,0.0084488,0.0084488
59,36.0437,2.16854,1.41552,1.67228,0.64537,0.50736,0.54339,0.1743,2.55339,1.66128,1.91856,0.00839707,0.00839707,0.00839707
60,36.5227,2.06608,1.23324,1.5333,0.21582,0.2919,0.17922,0.0426,2.87699,2.28436,2.17307,0.00834465,0.00834465,0.00834465
61,36.9917,2.2194,1.46308,1.72977,0.66047,0.40606,0.48004,0.1853,2.33201,1.76107,1.79736,0.00829156,0.00829156,0.00829156
62,37.4839,2.1219,1.35115,1.60304,0.49933,0.45455,0.39007,0.1061,2.63131,1.94011,2.01962,0.00823781,0.00823781,0.00823781
63,37.9468,2.17374,1.38691,1.69805,0.70348,0.56364,0.6477,0.26341,2.18317,1.50198,1.71327,0.00818341,0.00818341,0.00818341
64,38.4501,2.06587,1.29065,1.55212,0.64575,0.51515,0.54046,0.17342,2.44948,1.67859,1.86162,0.00812837,0.00812837,0.00812837
65,38.9156,2.0754,1.3033,1.5964,0.79711,0.61818,0.71705,0.32857,2.0253,1.30933,1.58153,0.00807271,0.00807271,0.00807271
66,39.4052,1.96294,1.21662,1.52684,0.72754,0.59394,0.66879,0.23991,2.27211,1.54902,1.75439,0.00801642,0.00801642,0.00801642
67,39.8715,2.00308,1.2255,1.47699,0.80968,0.64848,0.74864,0.33249,2.0002,1.28105,1.58575,0.00795954,0.00795954,0.00795954
68,40.358,2.04401,1.22929,1.53174,0.74069,0.68485,0.72951,0.2631,2.21987,1.43173,1.70681,0.00790206,0.00790206,0.00790206
69,40.8244,2.01464,1.21297,1.51238,0.79714,0.68485,0.77397,0.32862,2.05272,1.25866,1.62766,0.00784399,0.00784399,0.00784399
70,41.2942,2.06074,1.22477,1.53022,0.68308,0.64009,0.69057,0.25284,2.19745,1.37219,1.69757,0.00778536,0.00778536,0.00778536
71,41.7608,1.91637,1.23307,1.52599,0.87571,0.6303,0.79367,0.36008,1.98047,1.23824,1.57134,0.00772617,0.00772617,0.00772617
72,42.2467,2.01123,1.20191,1.49602,0.82013,0.66323,0.79349,0.37158,1.94917,1.21244,1.54005,0.00766644,0.00766644,0.00766644
73,42.7244,1.92384,1.17009,1.48325,0.90966,0.67132,0.82719,0.41318,1.87403,1.10312,1.47299,0.00760617,0.00760617,0.00760617
74,43.2058,1.96779,1.18774,1.53838,0.79774,0.7171,0.81427,0.37891,1.92989,1.20635,1.52252,0.00754538,0.00754538,0.00754538
75,43.6705,1.88145,1.17302,1.47658,0.87401,0.69697,0.83893,0.39853,1.92082,1.11534,1.48982,0.00748408,0.00748408,0.00748408
76,44.1396,1.90749,1.18789,1.46686,0.92389,0.73565,0.86168,0.40751,1.90552,1.10638,1.49531,0.00742228,0.00742228,0.00742228
77,44.6112,1.87665,1.09536,1.41797,0.90193,0.64848,0.81419,0.37765,1.93447,1.20888,1.51174,0.00736,0.00736,0.00736
78,45.0789,2.00818,1.20334,1.54697,0.89146,0.74665,0.87104,0.43255,1.84065,1.0815,1.4442,0.00729725,0.00729725,0.00729725
79,45.6026,1.86357,1.14311,1.45043,0.72379,0.66667,0.73302,0.37572,1.8704,1.42217,1.49899,0.00723404,0.00723404,0.00723404
80,46.0731,1.81943,1.0911,1.43557,0.90597,0.72727,0.85103,0.40427,1.98011,1.10693,1.5146,0.00717039,0.00717039,0.00717039
81,46.5516,1.79609,1.14275,1.50843,0.81163,0.58788,0.66446,0.28137,2.21331,1.49259,1.66824,0.0071063,0.0071063,0.0071063
82,47.0279,1.9238,1.20435,1.44997,0.74508,0.76169,0.81334,0.40887,1.90936,1.18576,1.49943,0.0070418,0.0070418,0.0070418
83,47.5233,1.78625,1.08102,1.40725,0.9383,0.7374,0.8569,0.42907,1.84825,1.01954,1.44133,0.00697689,0.00697689,0.00697689
84,47.9917,1.83553,1.08866,1.42696,0.93961,0.75446,0.89191,0.42526,1.81691,1.05406,1.45387,0.00691158,0.00691158,0.00691158
85,48.4608,1.82938,1.08295,1.43036,0.8983,0.80298,0.89556,0.42872,1.93381,1.00885,1.46907,0.0068459,0.0068459,0.0068459
86,48.9294,1.85236,1.04792,1.38648,0.91684,0.71515,0.87053,0.42707,1.8954,1.13472,1.49279,0.00677985,0.00677985,0.00677985
87,49.3991,1.79382,1.07488,1.41197,0.92303,0.79944,0.90086,0.43837,1.8391,1.00039,1.4318,0.00671344,0.00671344,0.00671344
88,49.959,1.77381,1.05595,1.38037,0.86936,0.8,0.88278,0.45379,1.76077,1.04947,1.40549,0.0066467,0.0066467,0.0066467
89,50.4416,1.7429,1.05206,1.33203,0.94953,0.7982,0.9167,0.47879,1.71913,0.96019,1.38436,0.00657963,0.00657963,0.00657963
90,50.9227,1.71074,1.00906,1.36118,0.94404,0.81789,0.91462,0.465,1.86151,0.97731,1.44975,0.00651225,0.00651225,0.00651225
91,51.3893,1.74848,1.00224,1.34774,0.85718,0.81212,0.88772,0.41913,1.85553,1.01895,1.47515,0.00644458,0.00644458,0.00644458
92,51.8701,1.74511,0.99296,1.35671,0.9348,0.83636,0.92634,0.49053,1.77848,0.9299,1.39562,0.00637661,0.00637661,0.00637661
93,52.3547,1.82192,1.00479,1.35905,0.88064,0.83636,0.91881,0.47568,1.67659,0.97779,1.36693,0.00630838,0.00630838,0.00630838
94,52.8258,1.76896,1.00719,1.38761,0.9557,0.78459,0.91914,0.48902,1.74166,0.92622,1.3689,0.00623989,0.00623989,0.00623989
95,53.2915,1.75737,0.99732,1.33002,0.90469,0.86289,0.93668,0.47813,1.67022,0.9495,1.3592,0.00617116,0.00617116,0.00617116
96,53.7584,1.78581,0.99947,1.39619,0.91983,0.81818,0.91842,0.48331,1.6893,0.90857,1.34002,0.0061022,0.0061022,0.0061022
97,54.2905,1.66886,0.97115,1.33168,0.94325,0.77576,0.90843,0.49322,1.6287,0.95796,1.33617,0.00603302,0.00603302,0.00603302
98,54.7719,1.74806,1.03077,1.40807,0.83897,0.86667,0.89845,0.40832,1.97706,0.9992,1.4726,0.00596365,0.00596365,0.00596365
99,55.2445,1.69694,0.98087,1.3316,0.89154,0.79709,0.90521,0.51291,1.64174,0.96193,1.32577,0.00589408,0.00589408,0.00589408
100,55.7223,1.64599,0.94872,1.33642,0.86346,0.84242,0.88259,0.39696,2.0178,1.00487,1.50898,0.00582435,0.00582435,0.00582435
101,56.1956,1.67974,0.94707,1.33399,0.90945,0.88485,0.94655,0.53533,1.59238,0.88707,1.31294,0.00575446,0.00575446,0.00575446
102,56.673,1.68055,0.98626,1.35513,0.88932,0.87653,0.92277,0.47054,1.72833,0.95815,1.37455,0.00568442,0.00568442,0.00568442
103,57.1421,1.66604,0.98029,1.32288,0.91835,0.88616,0.94439,0.51329,1.59495,0.88839,1.29499,0.00561426,0.00561426,0.00561426
104,57.6123,1.53197,0.90606,1.26811,0.90242,0.89697,0.93427,0.49414,1.70392,0.89853,1.3382,0.00554398,0.00554398,0.00554398
105,58.0773,1.63221,0.94993,1.35825,0.90964,0.8542,0.92062,0.44108,1.87554,0.9318,1.42006,0.0054736,0.0054736,0.0054736
106,58.6105,1.71241,0.95789,1.3299,0.89591,0.83464,0.92424,0.52299,1.61041,0.90714,1.30728,0.00540313,0.00540313,0.00540313
107,59.0893,1.58793,0.93508,1.33044,0.9109,0.90303,0.94276,0.46087,1.74001,0.92607,1.36997,0.00533259,0.00533259,0.00533259
108,59.5531,1.72357,0.95009,1.32559,0.89602,0.89091,0.94889,0.5432,1.50774,0.84653,1.26272,0.00526199,0.00526199,0.00526199
109,60.0509,1.59437,0.92025,1.30373,0.91865,0.82424,0.92475,0.51209,1.58787,0.8977,1.28426,0.00519135,0.00519135,0.00519135
110,60.5163,1.55831,0.91176,1.28257,0.92864,0.86763,0.94919,0.53669,1.54803,0.90001,1.28298,0.00512068,0.00512068,0.00512068
111,60.9829,1.60418,0.94293,1.33133,0.9331,0.83636,0.93299,0.51242,1.56117,0.87954,1.28196,0.00505,0.00505,0.00505
112,61.467,1.60081,0.91025,1.27516,0.8868,0.85458,0.92871,0.50061,1.6353,0.886,1.3314,0.00497932,0.00497932,0.00497932
113,61.9451,1.65789,0.94662,1.31009,0.92186,0.858,0.92947,0.5377,1.52418,0.87896,1.27488,0.00490865,0.00490865,0.00490865
114,62.425,1.57743,0.87873,1.2482,0.91371,0.89845,0.95093,0.54365,1.52831,0.84947,1.26715,0.00483801,0.00483801,0.00483801
115,62.969,1.57338,0.8981,1.28909,0.94207,0.88703,0.93473,0.5195,1.55037,0.86731,1.27428,0.00476741,0.00476741,0.00476741
116,63.4337,1.60013,0.91387,1.31863,0.93692,0.90024,0.94238,0.52756,1.55753,0.89324,1.28376,0.00469687,0.00469687,0.00469687
117,63.9019,1.57756,0.89487,1.27332,0.92421,0.89091,0.95155,0.5527,1.46827,0.83947,1.25378,0.0046264,0.0046264,0.0046264
118,64.3808,1.58072,0.87736,1.29239,0.94093,0.90303,0.95654,0.54259,1.52275,0.85365,1.26003,0.00455602,0.00455602,0.00455602
